customer_id,avg_transaction_amount,transaction_amount_std,total_spend,transaction_count,unique_merchants,unique_mcc_count,online_transaction_ratio,international_ratio,peak_hour,weekend_ratio,avg_fraud_score,avg_velocity_24h,decline_rate,avg_available_credit,avg_spending_limit,chargeback_count,transaction_frequency,merchant_diversity,spend_per_merchant,amount_variance_coef,chargeback_rate,cluster,pca_1,pca_2
CUST_000001,304.5,89.58968671919189,91045.5,299,149,93,0.4080267558528428,0.13043478260869565,11,0.2709030100334448,20.19839464882943,3.0133779264214047,0.010033444816053512,10570.238595317725,3896.321070234114,0,3.3222222222222224,0.4983277591973244,611.0436241610738,0.29421900400391426,0.0,2,1.4947599729019434,4.214494940236109
CUST_000002,255.38733153638813,72.97084347501168,94748.7,371,174,96,0.40431266846361186,0.13746630727762804,13,0.31805929919137466,20.005822102425874,2.975741239892183,0.01078167115902965,10257.434285714286,3788.409703504043,1,4.122222222222222,0.46900269541778977,544.5327586206896,0.2857261675276741,0.0026954177897574125,2,3.022561450773374,4.069139061096881
CUST_000003,185.035,56.9154743441981,63652.04,344,151,96,0.4127906976744186,0.18604651162790697,12,0.29651162790697677,19.54264534883721,3.008720930232558,0.011627906976744186,10305.76125,3854.6511627906975,2,3.8222222222222224,0.438953488372093,421.53668874172183,0.3075930193974011,0.005813953488372093,2,2.7457830314610274,2.732855051323927
CUST_000004,245.2319877675841,68.06068093690318,80190.86,327,163,97,0.37920489296636084,0.18042813455657492,12,0.290519877675841,19.63948012232416,3.018348623853211,0.012232415902140673,10925.815718654436,3613.1498470948013,0,3.6333333333333333,0.4984709480122324,491.9684662576687,0.27753590205127293,0.0,2,2.263206342611689,3.3291846460694927
CUST_000005,276.78335793357934,75.54543668950785,75008.29,271,130,92,0.3874538745387454,0.16236162361623616,14,0.28044280442804426,20.15571955719557,2.9667896678966788,0.014760147601476014,11071.732029520295,3734.3173431734317,3,3.011111111111111,0.4797047970479705,576.9868461538462,0.2729406755287533,0.01107011070110701,2,2.0443741261548602,3.6288502551840462
CUST_000006,276.1078966789668,80.14311972735858,74825.24,271,133,96,0.42066420664206644,0.15129151291512916,11,0.3247232472324723,19.84380073800738,2.896678966789668,0.007380073800738007,10032.674022140221,4083.0258302583024,1,3.011111111111111,0.4907749077490775,562.5957894736842,0.2902601508009085,0.0036900369003690036,2,1.4207832695697329,3.4544000962368044
CUST_000007,169.23401544401545,50.94936158411817,43831.61,259,129,95,0.4247104247104247,0.17374517374517376,14,0.2702702702702703,19.85949806949807,2.972972972972973,0.011583011583011582,9754.481776061775,4038.610038610039,3,2.8777777777777778,0.4980694980694981,339.77992248062014,0.30105863440303937,0.011583011583011582,2,2.1610528031328196,1.6356783939232136
CUST_000008,288.60789473684207,89.22836111785183,104187.45,361,155,96,0.3878116343490305,0.13850415512465375,14,0.25761772853185594,19.920415512465375,3.080332409972299,0.00554016620498615,10753.1159833795,3767.3130193905818,2,4.011111111111111,0.4293628808864266,672.1770967741935,0.3091681230661132,0.00554016620498615,2,2.843304626257416,5.122346459697105
CUST_000009,217.88422018348624,64.45263904833477,71248.14,327,159,95,0.44036697247706424,0.11314984709480122,9,0.29357798165137616,20.03498470948012,3.070336391437309,0.012232415902140673,11134.347033639144,3555.045871559633,6,3.6333333333333333,0.48623853211009177,448.10150943396224,0.29581141302503433,0.01834862385321101,2,3.418698530974037,3.2473454721365926
CUST_000010,269.28196480938414,81.75184041431834,91825.15,341,155,93,0.33724340175953077,0.1378299120234604,14,0.2873900293255132,19.7124926686217,3.005865102639296,0.008797653958944282,10233.996950146628,3967.7419354838707,1,3.7888888888888888,0.45454545454545453,592.4203225806451,0.30359196343575323,0.002932551319648094,2,2.435135612372525,4.311818524341519
