merchant_id,avg_ticket_size,total_volume,transaction_count,unique_customers,avg_fraud_score,decline_rate,refund_rate,international_customer_ratio,mcc,merchant_name,chargeback_count,online_ratio,transactions_per_customer,repeat_customer_score,chargeback_rate
MERCH_00001,91.49331360946746,30924.74,338,157,24.480562130177514,0.014792899408284023,0.0621301775147929,0.15976331360946747,9347,Pizza Hut,2,0.3609467455621302,2.1528662420382165,0.46449704142011833,0.005917159763313609
MERCH_00002,108.85932153392329,36903.31,339,157,28.261858407079647,0.014749262536873156,0.05604719764011799,0.16224188790560473,7537,Ford,1,0.3952802359882006,2.159235668789809,0.4631268436578171,0.0029498525073746312
MERCH_00003,96.98978436657681,35983.21,371,162,27.153396226415094,0.018867924528301886,0.04851752021563342,0.18867924528301888,1579,Regal Cinemas,2,0.39892183288409705,2.2901234567901234,0.4366576819407008,0.005390835579514825
MERCH_00004,105.558211143695,35995.35,341,149,26.7117008797654,0.005865102639296188,0.0469208211143695,0.17302052785923755,6616,KFC,2,0.41935483870967744,2.2885906040268456,0.436950146627566,0.005865102639296188
MERCH_00005,100.79689922480621,39008.4,387,167,26.05780361757106,0.028423772609819122,0.06459948320413436,0.17571059431524547,5150,Lululemon,2,0.3979328165374677,2.317365269461078,0.43152454780361754,0.00516795865633075
MERCH_00006,107.88329305135953,35709.37,331,144,24.832870090634444,0.015105740181268883,0.03927492447129909,0.1510574018126888,5076,Subway,0,0.4199395770392749,2.298611111111111,0.4350453172205438,0.0
MERCH_00007,107.01947674418604,36814.7,344,160,24.802412790697677,0.011627906976744186,0.061046511627906974,0.15406976744186046,7354,IKEA,3,0.36046511627906974,2.15,0.46511627906976744,0.00872093023255814
MERCH_00008,108.46799999999999,41217.84,380,158,23.91847368421053,0.021052631578947368,0.05526315789473684,0.1736842105263158,8211,Walmart,0,0.4,2.4050632911392404,0.41578947368421054,0.0
MERCH_00009,91.30455056179775,32504.42,356,167,27.62887640449438,0.02247191011235955,0.042134831460674156,0.17415730337078653,7099,Hilton,3,0.351123595505618,2.1317365269461077,0.46910112359550565,0.008426966292134831
MERCH_00010,92.18188087774294,29406.02,319,154,25.206081504702194,0.018808777429467086,0.034482758620689655,0.15673981191222572,5378,Ticketmaster,2,0.3887147335423197,2.0714285714285716,0.48275862068965514,0.006269592476489028
MERCH_00011,98.61863636363637,36883.37,374,156,25.58681818181818,0.02406417112299465,0.0427807486631016,0.15775401069518716,1867,AMC Theatres,1,0.39037433155080214,2.3974358974358974,0.41711229946524064,0.00267379679144385
MERCH_00012,104.67939153439153,39568.81,378,166,26.789074074074076,0.018518518518518517,0.04497354497354497,0.17724867724867724,8674,Nike,1,0.3941798941798942,2.2771084337349397,0.4391534391534392,0.0026455026455026454
MERCH_00013,96.06884831460675,34200.51,356,147,22.4135393258427,0.008426966292134831,0.05898876404494382,0.11797752808988764,9236,Saks Fifth Avenue,1,0.37640449438202245,2.421768707482993,0.41292134831460675,0.0028089887640449437
MERCH_00014,109.19913513513514,40403.68,370,152,24.13843243243243,0.01891891891891892,0.05405405405405406,0.14054054054054055,1848,Whole Foods,2,0.45135135135135135,2.4342105263157894,0.41081081081081083,0.005405405405405406
MERCH_00015,110.92042755344418,46697.5,421,183,25.258052256532064,0.011876484560570071,0.04275534441805225,0.18527315914489312,6724,AT&T,0,0.40380047505938244,2.300546448087432,0.4346793349168646,0.0
MERCH_00016,108.52295811518324,41455.77,382,179,26.669057591623037,0.013089005235602094,0.05235602094240838,0.18848167539267016,8394,Macys,1,0.4031413612565445,2.1340782122905027,0.468586387434555,0.002617801047120419
MERCH_00017,93.23806629834255,33752.18,362,160,26.08002762430939,0.016574585635359115,0.07734806629834254,0.16574585635359115,1997,Delta Air Lines,2,0.425414364640884,2.2625,0.4419889502762431,0.0055248618784530384
MERCH_00018,100.0016864608076,42100.71,421,172,23.90418052256532,0.021377672209026127,0.047505938242280284,0.14726840855106887,4645,BP,2,0.36342042755344417,2.447674418604651,0.4085510688836105,0.004750593824228029
MERCH_00019,103.56325,28997.71,280,138,25.654035714285715,0.025,0.05357142857142857,0.19285714285714287,5076,Subway,2,0.40714285714285714,2.028985507246377,0.4928571428571428,0.007142857142857143
MERCH_00020,96.5923560209424,36898.28,382,170,24.544267015706804,0.010471204188481676,0.06544502617801047,0.17539267015706805,5025,Five Guys,2,0.3795811518324607,2.2470588235294118,0.44502617801047123,0.005235602094240838
MERCH_00021,105.30252148997135,36750.58,349,165,25.874240687679084,0.011461318051575931,0.054441260744985676,0.18624641833810887,9118,Best Buy,1,0.36103151862464183,2.1151515151515152,0.47277936962750716,0.0028653295128939827
MERCH_00022,103.54305263157895,29509.77,285,135,24.92438596491228,0.031578947368421054,0.06666666666666667,0.1824561403508772,7364,Papa Johns,3,0.3929824561403509,2.111111111111111,0.47368421052631576,0.010526315789473684
MERCH_00023,94.79564864864865,35074.39,370,165,24.357405405405405,0.016216216216216217,0.05675675675675676,0.15405405405405406,9737,Williams-Sonoma,4,0.35405405405405405,2.242424242424242,0.445945945945946,0.010810810810810811
MERCH_00024,105.01608695652175,41061.29,391,166,24.75079283887468,0.005115089514066497,0.03580562659846547,0.20460358056265984,8211,Walmart,1,0.37851662404092073,2.355421686746988,0.42455242966751916,0.0025575447570332483
MERCH_00025,99.33279069767441,42713.1,430,170,25.1486511627907,0.018604651162790697,0.03488372093023256,0.17674418604651163,1693,Target,5,0.3767441860465116,2.5294117647058822,0.39534883720930236,0.011627906976744186
MERCH_00026,108.62333333333333,37149.18,342,152,24.568421052631578,0.02046783625730994,0.05847953216374269,0.19883040935672514,6724,AT&T,3,0.4093567251461988,2.25,0.4444444444444444,0.008771929824561403
MERCH_00027,106.35844504021446,39671.7,373,166,23.73048257372654,0.013404825737265416,0.06970509383378017,0.128686327077748,1867,AMC Theatres,5,0.3914209115281501,2.246987951807229,0.4450402144772118,0.013404825737265416
MERCH_00028,112.0053947368421,34049.64,304,148,23.790427631578947,0.013157894736842105,0.04276315789473684,0.13815789473684212,5428,Air France-KLM,2,0.3881578947368421,2.054054054054054,0.4868421052631579,0.006578947368421052
MERCH_00029,100.08071839080459,34828.09,348,173,24.53301724137931,0.028735632183908046,0.04597701149425287,0.16954022988505746,7354,IKEA,1,0.3994252873563218,2.0115606936416186,0.49712643678160917,0.0028735632183908046
