issuer_id,active_customers,active_cards,total_transaction_volume,avg_transaction_amount,transaction_count,avg_available_credit,avg_spending_limit,avg_account_age_days,avg_fraud_score,avg_cardholder_risk_score,decline_rate,insufficient_funds_rate,chargeback_count,cross_border_ratio,ecommerce_ratio,cash_advance_ratio,3ds_success_rate,avg_velocity_24h,transactions_per_customer,volume_per_customer,chargeback_rate,approval_rate,cards_per_customer,cluster,pca_1,pca_2
ISSUER_001,19,19,471631.06,122.56524428274429,3848,10471.433627858629,3699.454261954262,1882.5239085239086,24.09669178794179,19.853105509355508,0.01949064449064449,0.002598752598752599,19,0.14423076923076922,0.36096673596673595,0.02468814968814969,0.8509719222462203,3.0067567567567566,202.52631578947367,24822.68736842105,0.004937629937629938,0.9805093555093555,1.0,0,0.19973661373643797,1.4219561172235762
ISSUER_002,23,23,369965.94,113.48648466257669,3260,10476.71058588957,3900.7668711656443,1867.2171779141104,28.636187116564418,19.789368098159507,0.02147239263803681,0.004294478527607362,18,0.15460122699386503,0.4144171779141104,0.01717791411042945,0.8556624722427831,2.9834355828220858,141.7391304347826,16085.475652173913,0.005521472392638037,0.9785276073619632,1.0,2,1.869910797889897,-1.37339243399018
ISSUER_003,23,23,452849.57,105.510151444548,4292,10432.136383970177,3702.469711090401,1834.6251164958062,21.87770736253495,19.95556150978565,0.013979496738117428,0.0016309412861137,21,0.11649580615097857,0.36113699906803354,0.021668219944082013,0.8483870967741935,2.9769338303821065,186.6086956521739,19689.111739130436,0.0048928238583411,0.9860205032618826,1.0,0,0.0316726913960831,2.0082781535534338
ISSUER_004,19,19,330005.98,89.57817046688382,3684,10534.84402008686,3737.6492942453856,1843.46335504886,23.294986427795873,20.047605863192185,0.02225841476655809,0.004343105320304018,26,0.07871878393051031,0.3357763300760043,0.020901194353963082,0.8666127728375101,3.017643865363735,193.89473684210526,17368.73578947368,0.007057546145494028,0.9777415852334419,1.0,2,1.3747937223946098,-1.3882618364145558
ISSUER_005,13,13,261237.61,102.72812033031852,2543,10573.588151789227,3830.9083759339364,1832.8682658277626,24.545627211954383,19.844353126228864,0.011403853716083366,0.001966181675186787,15,0.20566260322453794,0.34644121116791193,0.019661816751867872,0.8251986379114642,2.9842705465985055,195.6153846153846,20095.200769230767,0.005898545025560362,0.9885961462839167,1.0,1,-2.740634377685786,-1.145896880759521
ISSUER_006,21,21,344330.28,112.63666339548578,3057,10566.444389924764,3812.561334641806,1835.5780176643768,23.894654890415442,20.066290480863593,0.01602878639188747,0.001962708537782139,10,0.1429506051684658,0.4602551521099117,0.023552502453385672,0.8521677327647477,2.9816813869807,145.57142857142858,16396.68,0.0032711808963035655,0.9839712136081126,1.0,4,-0.752155933931039,-0.2378740795779973
ISSUER_007,21,21,351354.26,90.0908358974359,3900,10437.50826923077,3773.846153846154,1848.978717948718,23.77893076923077,20.261784615384617,0.01564102564102564,0.003076923076923077,25,0.11564102564102564,0.3241025641025641,0.022307692307692306,0.8425632911392406,2.9715384615384615,185.71428571428572,16731.155238095238,0.00641025641025641,0.9843589743589743,1.0,2,0.6597077551214109,-0.008400855229816399
ISSUER_008,22,22,365938.98,89.62502571638501,4083,10528.602912074455,3830.516776879745,1843.1479304433014,32.540423708057794,20.025672299779576,0.03159441587068332,0.004653441097232427,15,0.20671075189811414,0.4241978937056086,0.018368846436443792,0.8521939953810623,3.0570658829292188,185.5909090909091,16633.59,0.0036737692872887582,0.9684055841293167,1.0,3,4.103642630456902,-1.8414131905268416
ISSUER_009,18,18,254362.62,74.09339353335275,3433,10464.402170113603,3867.171570055345,1851.768715409263,24.077809496067577,20.190792309933006,0.017768715409263034,0.002330323332362365,20,0.08185260704922807,0.3850859306728809,0.019225167491989513,0.8623298033282905,2.9711622487620155,190.72222222222223,14131.256666666666,0.005825808330905913,0.9822312845907369,1.0,2,-0.3420879642530674,-2.1134516002355492
ISSUER_010,15,15,299203.45,109.1983394160584,2740,10539.177102189782,3762.5912408759123,1833.6277372262773,27.30540510948905,20.342142335766425,0.02408759124087591,0.0032846715328467154,14,0.17445255474452553,0.39854014598540144,0.017518248175182483,0.8516483516483516,3.0054744525547443,182.66666666666666,19946.896666666667,0.0051094890510948905,0.9759124087591241,1.0,1,0.2538694640777228,-2.308292428811431
