merchant_id,avg_ticket_size,total_volume,transaction_count,unique_customers,avg_fraud_score,decline_rate,refund_rate,international_customer_ratio,mcc,merchant_name,chargeback_count,online_ratio,transactions_per_customer,repeat_customer_score,chargeback_rate,cluster,pca_1,pca_2
MERCH_00001,91.49331360946746,30924.74,338,157,24.480562130177514,0.014792899408284023,0.0621301775147929,0.15976331360946747,9347,Pizza Hut,2,0.3609467455621302,2.1528662420382165,0.46449704142011833,0.005917159763313609,3,-1.8401375911741482,1.113870563209812
MERCH_00002,108.85932153392329,36903.31,339,157,28.261858407079647,0.014749262536873156,0.05604719764011799,0.16224188790560473,7537,Ford,1,0.3952802359882006,2.159235668789809,0.4631268436578171,0.0029498525073746312,3,-1.2657337534240973,-1.3366903956669889
MERCH_00003,96.98978436657681,35983.21,371,162,27.153396226415094,0.018867924528301886,0.04851752021563342,0.18867924528301888,1579,Regal Cinemas,2,0.39892183288409705,2.2901234567901234,0.4366576819407008,0.005390835579514825,4,0.2911028920188281,-0.06931383828941609
MERCH_00004,105.558211143695,35995.35,341,149,26.7117008797654,0.005865102639296188,0.0469208211143695,0.17302052785923755,6616,KFC,2,0.41935483870967744,2.2885906040268456,0.436950146627566,0.005865102639296188,1,-0.5278703532979504,0.14569267378206427
MERCH_00005,100.79689922480621,39008.4,387,167,26.05780361757106,0.028423772609819122,0.06459948320413436,0.17571059431524547,5150,Lululemon,2,0.3979328165374677,2.317365269461078,0.43152454780361754,0.00516795865633075,4,1.525236343370589,-0.16619686185852897
MERCH_00006,107.88329305135953,35709.37,331,144,24.832870090634444,0.015105740181268883,0.03927492447129909,0.1510574018126888,5076,Subway,0,0.4199395770392749,2.298611111111111,0.4350453172205438,0.0,1,-0.8086295427267264,-1.6280520471015174
MERCH_00007,107.01947674418604,36814.7,344,160,24.802412790697677,0.011627906976744186,0.061046511627906974,0.15406976744186046,7354,IKEA,3,0.36046511627906974,2.15,0.46511627906976744,0.00872093023255814,2,-0.7695735763336229,1.1265325441303529
MERCH_00008,108.46799999999999,41217.84,380,158,23.91847368421053,0.021052631578947368,0.05526315789473684,0.1736842105263158,8211,Walmart,0,0.4,2.4050632911392404,0.41578947368421054,0.0,4,2.0494017475155033,-1.821136025122157
MERCH_00009,91.30455056179775,32504.42,356,167,27.62887640449438,0.02247191011235955,0.042134831460674156,0.17415730337078653,7099,Hilton,3,0.351123595505618,2.1317365269461077,0.46910112359550565,0.008426966292134831,2,-1.4477816557410648,0.8852171490568551
MERCH_00010,92.18188087774294,29406.02,319,154,25.206081504702194,0.018808777429467086,0.034482758620689655,0.15673981191222572,5378,Ticketmaster,2,0.3887147335423197,2.0714285714285716,0.48275862068965514,0.006269592476489028,3,-3.3853066737784414,0.6208630119230675
MERCH_00011,98.61863636363637,36883.37,374,156,25.58681818181818,0.02406417112299465,0.0427807486631016,0.15775401069518716,1867,AMC Theatres,1,0.39037433155080214,2.3974358974358974,0.41711229946524064,0.00267379679144385,1,1.2405515862548586,-0.7226670593382547
