acquirer_id,merchant_portfolio_size,mcc_diversity,total_processing_volume,avg_transaction_amount,transaction_count,total_network_fees,unique_customers,country_diversity,avg_fraud_score,decline_rate,chargeback_count,cross_border_ratio,ecommerce_ratio,refund_rate,primary_network,avg_interchange_rate,transactions_per_merchant,volume_per_merchant,chargeback_rate,approval_rate,avg_fee_per_transaction,customers_per_merchant,cluster,pca_1,pca_2
ACQ_001,500,98,604036.28,99.7088610102344,6058,13560.06,931,7,24.77739022779795,0.016011885110597555,32,0.15665236051502146,0.39220864971937935,0.04539451964344668,6058,2.2480802244965337,12.116,1208.07256,0.005282271376691978,0.9839881148894024,2.238372400132057,1.862,0,-1.3295094548337296,1.5633928502457521
ACQ_002,500,98,626691.31,102.66895642201835,6104,14087.77,936,7,24.522054390563564,0.014416775884665793,27,0.17234600262123198,0.3915465268676278,0.04783748361730013,6104,2.2480357142857144,12.208,1253.38262,0.004423328964613368,0.9855832241153342,2.3079570773263436,1.872,1,4.574557436643458,2.611825799192819
ACQ_003,500,98,611459.31,102.26782237832414,5979,13791.63,931,7,25.067064726542903,0.015052684395383844,33,0.17109884596086303,0.3861849807660144,0.0481685900652283,5979,2.254204716507777,11.958,1222.9186200000001,0.0055193176116407425,0.9849473156046161,2.3066783743100854,1.862,1,0.6250864689317238,-0.4465372802648809
ACQ_004,500,98,602145.81,101.3713484848485,5940,13521.99,931,7,24.856181818181817,0.017845117845117844,22,0.15841750841750843,0.3952861952861953,0.05286195286195286,5940,2.2463703703703706,11.88,1204.2916200000002,0.003703703703703704,0.9821548821548821,2.276429292929293,1.862,0,-1.196757542314598,-0.12239475637452644
ACQ_005,500,98,599585.04,100.51719027661359,5965,13527.7,938,7,24.95859849119866,0.01609388097233864,39,0.1683151718357083,0.4077116512992456,0.04643755238893546,5965,2.2545817267393127,11.93,1199.17008,0.006538139145012573,0.9839061190276613,2.2678457669740153,1.876,2,-2.2296061547455404,-0.0022341088274023743
ACQ_006,500,98,590671.91,98.72503927795421,5983,13380.6,929,7,25.001917098445595,0.01754972421861942,34,0.16229316396456628,0.3907738592679258,0.05214775196389771,5983,2.258928631121511,11.966,1181.34382,0.005682767842219622,0.9824502757813806,2.236436570282467,1.858,2,-4.261523291995133,-1.3003088128234503
ACQ_007,500,98,608462.75,100.6555417700579,6045,13686.59,946,7,25.129457402812243,0.016046319272125725,26,0.15913978494623657,0.4064516129032258,0.05028949545078577,6045,2.240423490488007,12.09,1216.9255,0.004301075268817204,0.9839536807278743,2.264117452440033,1.892,0,0.3317753489445234,2.6046623688876775
ACQ_008,500,98,617844.27,101.43560499097029,6091,13958.69,925,7,24.94945985880808,0.016089312099819404,19,0.16302741750123131,0.3997701526842883,0.048924642915777375,6091,2.256133639796421,12.182,1235.68854,0.003119356427516007,0.9839106879001805,2.291691019537022,1.85,1,3.07669830920785,0.6460349417072294
ACQ_009,500,98,606218.17,98.06181979941768,6182,13640.75,937,7,25.00161274668392,0.017470074409576188,26,0.16321578777094792,0.3964736331284374,0.04966030410870269,6182,2.2551763183435782,12.364,1212.43634,0.0042057586541572305,0.9825299255904238,2.2065270139113555,1.874,0,-0.1583215400240734,1.6754905028659293
ACQ_010,500,98,614773.8,102.47937989664945,5999,13815.45,932,7,24.817326221036843,0.018169694949158193,26,0.16836139356559426,0.3933988998166361,0.045174195699283215,5999,2.2509751625270877,11.998,1229.5476,0.004334055675945991,0.9818303050508418,2.3029588264710785,1.864,1,2.0003695417780945,-0.6544599239640767
